symbol,log2FC_mut_vs_ctrl,t,p,fdr_bh
LINC00265,0.8943674028068466,3.1054885296675097,0.007747465298830628,0.014897102346873196
ESRRB,1.1217288116653972,3.099242475375979,0.007844185383796961,0.015073622696763439
MYLK3,0.7398140406308937,3.098891940169829,0.007849648761304652,0.01507939420457459
SNORA70,1.7357671631097527,3.0985456668705345,0.007855049417835661,0.015085041645154324
SLC10A5,0.8585904642247744,3.096204779761511,0.007891655856304542,0.015145851721711597
DDX55,0.272046686156037,3.0937502002635395,0.007930221853334677,0.015210344168004247
SSTR5,1.1448581315528719,3.0889652184836036,0.008005940663171625,0.015350771431104806
LOC105371050,0.9245228519775064,3.086939978916298,0.008038204003973296,0.015402997981980714
MACF1,0.4199671571237862,3.0864679878201615,0.00804574161374052,0.015412623778821685
LOC112268122,0.6290735541238047,3.0857971563792614,0.008056466720368175,0.015418714016814522
LINC02666,0.7319325784543257,3.0826446171215967,0.008107058858290108,0.015505856724280299
DOCK5,1.1748336687523468,3.08214258859643,0.008115144446763351,0.015516480180492622
LOC107985944,0.43339703183011397,3.080164269268121,0.008147084782571586,0.015567839687395207
UBA7,1.0882097485957951,3.076649086029929,0.008204145619690911,0.015671988983703734
RASL11B,0.6559965236356987,3.0763859108405494,0.008208433552276679,0.015675295225998767
LOC401127,1.527129741093727,3.07620319669745,0.008211411832696238,0.015676099201005277
CFAP44,0.9236612211122472,3.073332668296742,0.00825834281563843,0.01576078501241083
TBC1D3H,0.7533673608747393,3.073026194701137,0.008263369097690015,0.015765469209100467
LOC105370689,1.3486578319940683,3.0705330192242286,0.00830437084418789,0.015833839276787484
LCP2,1.5987050579079807,3.070141494472091,0.008310827978608739,0.015841223727882953
LRRC37A17P,0.8109473290520537,3.0692811169540746,0.008325035035211507,0.01586337108046209
LOC105371818,1.510913568560028,3.068294342272578,0.008341358845776812,0.015889536893912946
NBPF26,0.42299742741294966,3.06715690878901,0.00836021426795459,0.015917851475442446
LOC107986163,0.48552906028429793,3.0663087870709904,0.008374301181276616,0.01593441168871699
KSR2,0.4872642458202881,3.0652332056322282,0.008392199901566063,0.01596158405107042
AFF1,0.4801567494103175,3.0643977894104917,0.008406128168363837,0.015983115903247618
LOC112268070,0.5610193595906673,3.0591228647735056,0.008494602955999138,0.01613632355756886
CNPY4,0.20062795934193348,3.05783343254238,0.00851637004941947,0.01617266059570674
LINC01000,1.3123302267601722,3.056848615270838,0.008533032067694844,0.01619928354752846
TRPV1,0.7650752333811403,3.0537755154654374,0.008585233197879698,0.016288294491798996
VPS33B-DT,1.3870472591559524,3.0502627565496154,0.008645289721291381,0.01639716150727604
RTCA-AS1,0.5342781549122322,3.047141329510112,0.008699004433844578,0.01648529432741139
TDRD6,0.9663848589729744,3.047014591208921,0.00870119235607601,0.01648529432741139
LOC102723539,1.0421509480158808,3.046938033164556,0.008702514264845557,0.01648529432741139
LOC105379377,2.0666147567003157,3.0462792044542137,0.00871389831096748,0.016501759853639372
NEB,1.6046443314378043,3.0449967112315215,0.008736101058245833,0.016538696567957676
RPL37A-DT,1.5163378275855506,3.042977406395164,0.008771173083642447,0.016594842902076606
ZNF625-ZNF20,1.4239498187787727,3.039822708537963,0.008826243945393114,0.016693883179654364
WASH5P,1.037393077835566,3.0391030157941166,0.008838855287141982,0.01671257955280085
ATP8B2,0.2831115163861613,3.0347746396740423,0.008915079126353585,0.016851506335043932
ANO7,0.8171062772461859,3.0342393037778472,0.008924551580288978,0.016864211216760617
LOC102724143,0.782390519353651,3.0300118161307754,0.00899970485550644,0.01700098328636502
LOC107984214,1.4459073790339332,3.029413457551211,0.009010392467041604,0.017015929089021883
ZNNT1,0.3180002050982105,3.0290560295199636,0.009016782669905365,0.017022752622888784
VASH1-AS1,0.387022600313215,3.0246838592687912,0.009095313058629774,0.01716043984284411
LOC644169,0.6068804652300291,3.022867785939524,0.009128130658591832,0.017216948439086277
DOT1L,0.30948897829594196,3.0219843676509988,0.009144136865369877,0.017236641754218126
LOC399975,0.7748622770813405,3.021687167937839,0.009149527907868053,0.01724150202128225
ZNF850,0.40400122423902357,3.0180048305703937,0.009216584591970223,0.017344258387517984
IER3,0.5615513591662427,3.016849649926088,0.009237720725799248,0.017375645305047375
RAP2C-AS1,0.5095443208318203,3.014467709415648,0.009281453938380514,0.017452549890267652
LOC729737,0.8097973213638547,3.0120096345916574,0.009326799419728915,0.017532438038312864
PRNCR1,0.520701332224296,3.0104408071460678,0.009355854775638654,0.017570891475081174
SPATA41,1.5100166749551982,3.010027462268752,0.00936352496717239,0.017575634745862382
COL23A1,0.972514815417986,3.009995695817908,0.009364114694940707,0.017575634745862382
GDF15,0.7147722420295093,3.009815512994674,0.009367460390221617,0.01757653265750184
SLC9A7P1,0.44273061238658945,3.0040133633422577,0.009475829952835432,0.01776899284517626
LOC107987057,1.8822816385112546,3.002742896645683,0.009499723766805098,0.01780835066988234
CSNK2A3,0.853620394588188,3.00223745708324,0.00950924615746217,0.017820751741132103
GVINP1,0.929525381915965,3.000972034779902,0.009533127833589547,0.017860046949848385
FERMT3,1.5796116230806536,2.9978943581581903,0.009591458653275731,0.0179515964903449
RAET1K,1.6493655543887604,2.997776046861359,0.009593708010174534,0.0179515964903449
CYP27A1,0.879804605648272,2.9975013481533876,0.009598932642334385,0.01795589169896545
TCF7L2,0.5057538372131133,2.9967553592404976,0.00961313515115547,0.017976973299750773
GK5,0.3364499035840166,2.995221568989498,0.009642401403767107,0.018026203295240125
MAP7D1,0.2900144217169909,2.9934553309728784,0.009676211932136558,0.01808389608048692
MIR3659HG,1.5463042595299403,2.991070735823365,0.009722045133241677,0.0181584816169322
INSYN1-AS1,0.7487765478542918,2.9900750928264377,0.009741245258881379,0.018188800925051127
UNC13A,0.39313444932388825,2.986286784702812,0.009814642123792273,0.01830398258862947
SDSL,0.5968663245395692,2.9862747506788576,0.009814876144995934,0.01830398258862947
LOC102724708,0.5504772235082658,2.9835464695369307,0.009868074347056496,0.01839759603024827
MPHOSPH9,0.593787677573362,2.978415529142968,0.009968892998882681,0.018579906987884108
ALG1L12P,0.6088726336021552,2.976148555927048,0.010013760004550894,0.01864652151515704
TPR,0.5420427913551964,2.974919144402924,0.010038175221952928,0.018686308566830078
YY2,0.5609008037309278,2.972869795325694,0.010079004323077364,0.01875661703110633
ZNF573,0.5605880817861465,2.969984818046387,0.010136759199901972,0.018852649846905063
TCF15,0.9329130690297406,2.9669498717914204,0.010197868429268486,0.01894905531112938
ARHGEF11,0.30390794054089026,2.9660095718145962,0.010216875118752352,0.01897861953877331
LINC00504,1.3002230855728383,2.963012276929417,0.010277694031905815,0.01908003162192085
DENND4C,1.0347067872150164,2.961058812452537,0.010317524180681598,0.019142379911494613
ARHGAP9,0.5526007874730745,2.960724901800566,0.010324347652989806,0.019149243907058248
PTPRD,0.42871814672310227,2.9597421093157315,0.010344456853081656,0.019180738206107245
MTMR10,0.29141621370811416,2.957615121803898,0.010388109976748263,0.019255855505735366
KIAA1614,0.5172882536224445,2.9572577619194282,0.010395462019987993,0.019263658459046675
